,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Age': '>=25.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.844,0.0297,0.9642,0.2157,0.8967,23.6,0.0236,37.5841,0.1094,0.225,0.1248,0.1473,-0.074,-0.1473,0.0227,0.0112,-0.0112,-0.0046
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Saving accounts': 'little'}",0.8175,0.0041,0.995,0.2271,0.8833,23.2,0.0232,39.0943,0.0214,0.04,0.1922,0.3939,-0.1047,-0.3939,0.0373,0.0166,-0.0166,-0.0138
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.9035,0.0,1.0,0.1471,0.9633,23.2,0.0232,27.9184,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0226,0.0113,-0.0113,-0.0045
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Job': 2, 'Saving accounts': 'little'}",0.9231,0.0,1.0,0.1371,0.9733,23.2,0.0232,26.5846,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0206,0.0105,-0.0105,-0.0032
0,{'Age': '>=25.5'},0.758,0.0642,0.9119,0.8429,0.2667,23.0,0.023,128.9259,0.0457,0.0837,0.0404,0.0599,-0.0216,-0.0599,0.0327,0.0139,-0.0127,-0.0132
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Job': 2}",0.8547,0.0,1.0,0.1829,0.9267,23.0,0.023,32.768,0.0051,0.0222,0.1971,0.3962,-0.1097,-0.3962,0.0296,0.014,-0.014,-0.0087
0,{'Saving accounts': 'unknown'},0.8164,0.0186,0.9775,0.2157,0.8933,22.9,0.0229,37.3787,0.0671,0.1012,0.17,0.3491,-0.0872,-0.3491,0.0311,0.0132,-0.0132,-0.0112
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.9647,0.0,1.0,0.1171,0.99,22.5,0.0225,23.7318,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0169,0.009,-0.009,-0.0012
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Duration': '>=15.5', 'Job': 2}",0.875,0.0,1.0,0.16,0.9467,22.4,0.0224,29.4,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0254,0.0123,-0.0123,-0.0065
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Saving accounts': 'little'}",0.7847,0.0258,0.9673,0.28,0.8267,22.4,0.0224,46.471,0.129,0.2221,0.1524,0.3092,-0.0771,-0.3092,0.0378,0.0161,-0.0151,-0.0161
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Job': 2, 'Purpose': 'radio/TV'}",0.9643,0.0,1.0,0.1157,0.99,22.2,0.0222,23.4321,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0167,0.0089,-0.0089,-0.0012
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Housing': 'own', 'Job': 2}",0.8806,0.0,1.0,0.1557,0.95,22.2,0.0222,28.7444,0.0065,0.0333,0.1968,0.392,-0.1097,-0.392,0.0244,0.012,-0.012,-0.0059
0,"{'Checking account': 'unknown', 'Job': 2, 'Saving accounts': 'little'}",0.8756,0.0,1.0,0.1586,0.9467,22.1,0.0221,29.1047,0.0045,0.025,0.1968,0.3928,-0.1097,-0.3928,0.025,0.0122,-0.0122,-0.0063
0,"{'Housing': 'own', 'Purpose': 'radio/TV'}",0.8264,0.0352,0.9558,0.2586,0.8467,22.1,0.0221,43.2965,0.1434,0.2625,0.0988,0.0893,-0.0655,-0.0879,0.0224,0.0119,-0.0119,-0.004
0,{'Purpose': 'radio/TV'},0.815,0.0379,0.9514,0.3114,0.7933,22.0,0.022,50.9186,0.1397,0.2448,0.0863,0.0745,-0.0611,-0.0698,0.0242,0.0133,-0.0133,-0.0043
0,"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Duration': '<15.5', 'Housing': 'own', 'Job': 2}",0.975,0.0,1.0,0.1114,0.9933,22.0,0.022,22.815,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0159,0.0086,-0.0086,-0.0008
0,"{'Checking account': 'unknown', 'Purpose': 'car'}",0.8475,0.0,1.0,0.0714,0.97,8.7,0.0087,12.7119,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0117,0.0055,-0.0055,-0.0036
0,"{'Age': '>=25.5', 'Checking account': 'unknown', 'Purpose': 'car'}",0.8837,0.0,1.0,0.0543,0.9833,7.9,0.0079,10.0744,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0085,0.0042,-0.0042,-0.002
