description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
"{'Age': '>=25.5', 'Saving accounts': 'unknown'}",0.8413,0.0039,0.9954,0.1857,0.9167,21.5,0.0215,32.7097,0.0331,0.0574,0.1881,0.3653,-0.1051,-0.3653,0.0292,0.0137,-0.0137,-0.0091
"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Purpose': 'radio/TV'}",0.8667,0.0047,0.9946,0.1586,0.94,20.7,0.0207,28.6535,0.0541,0.2333,0.1829,0.3276,-0.1043,-0.3276,0.0236,0.0116,-0.0116,-0.0059
"{'Checking account': 'unknown', 'Saving accounts': 'unknown'}",0.9091,0.0,1.0,0.1286,0.97,20.7,0.0207,24.5455,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0196,0.0099,-0.0099,-0.0036
"{'Checking account': 'unknown', 'Duration': '<15.5', 'Saving accounts': 'little'}",0.9326,0.0,1.0,0.1186,0.98,20.7,0.0207,23.2213,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0177,0.0091,-0.0091,-0.0024
"{'Age': '>=25.5', 'Duration': '<15.5', 'Purpose': 'radio/TV'}",0.8942,0.0,1.0,0.1329,0.9633,20.2,0.0202,24.949,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0206,0.0102,-0.0102,-0.0045
"{'Age': '>=25.5', 'Duration': '<15.5', 'Saving accounts': 'little'}",0.8143,0.0057,0.9928,0.2386,0.8567,20.0,0.02,39.8414,0.0201,0.041,0.1679,0.2844,-0.1025,-0.2844,0.0353,0.0171,-0.0171,-0.0122
"{'Duration': '<15.5', 'Housing': 'own', 'Saving accounts': 'little'}",0.8184,0.0133,0.9834,0.2243,0.87,19.8,0.0198,37.7281,0.0804,0.163,0.1545,0.2515,-0.0932,-0.2515,0.0303,0.0146,-0.0146,-0.0098
"{'Duration': '<15.5', 'Purpose': 'radio/TV'}",0.8545,0.0045,0.9946,0.16,0.9333,19.6,0.0196,28.5091,0.0541,0.2333,0.1832,0.3353,-0.1044,-0.3353,0.0242,0.0117,-0.0117,-0.0067
"{'Duration': '<15.5', 'Saving accounts': 'little'}",0.7811,0.0294,0.962,0.2929,0.8,19.5,0.0195,47.5755,0.1132,0.1583,0.132,0.242,-0.0717,-0.242,0.035,0.0154,-0.0147,-0.0145
"{'Age': '>=25.5', 'Job': 2, 'Purpose': 'radio/TV'}",0.8507,0.0247,0.9702,0.1729,0.9167,18.8,0.0188,30.0842,0.0898,0.182,0.1272,0.1427,-0.08,-0.1333,0.0186,0.0097,-0.0097,-0.0033
"{'Age': '>=25.5', 'Job': 2}",0.7825,0.0496,0.9328,0.5186,0.57,18.6,0.0186,80.347,0.0411,0.0651,0.0545,0.0503,-0.0425,-0.0456,0.0268,0.0154,-0.0154,-0.0059
"{'Housing': 'own', 'Job': 2, 'Purpose': 'radio/TV'}",0.8457,0.0383,0.953,0.1886,0.9,18.6,0.0186,32.2667,0.1561,0.3432,0.091,0.0627,-0.0627,-0.032,0.0147,0.0083,-0.0083,-0.001
"{'Housing': 'own', 'Saving accounts': 'unknown'}",0.8246,0.0185,0.978,0.1557,0.93,18.0,0.018,27.4177,0.0567,0.0907,0.1753,0.3768,-0.0877,-0.3768,0.0228,0.0096,-0.0096,-0.0079
"{'Credit amount': '<3913.5', 'Saving accounts': 'unknown'}",0.8567,0.0,1.0,0.1457,0.94,18.0,0.018,26.01,0.0235,0.0889,0.1917,0.3609,-0.1097,-0.3609,0.023,0.0112,-0.0112,-0.0065
"{'Age': '>=25.5', 'Housing': 'own', 'Saving accounts': 'unknown'}",0.8584,0.0053,0.9938,0.1386,0.9467,17.9,0.0179,24.9796,0.0522,0.0883,0.1878,0.3678,-0.1035,-0.3678,0.0212,0.01,-0.01,-0.0059
"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Saving accounts': 'unknown'}",0.8788,0.0,1.0,0.1243,0.96,17.7,0.0177,22.9364,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0196,0.0095,-0.0095,-0.0049
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Saving accounts': 'unknown'}",0.8989,0.0,1.0,0.1143,0.97,17.7,0.0177,21.573,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0177,0.0088,-0.0088,-0.0036
"{'Duration': '<15.5', 'Housing': 'own', 'Purpose': 'radio/TV'}",0.8611,0.0056,0.9935,0.1329,0.95,17.4,0.0174,24.025,0.0375,0.12,0.1873,0.3653,-0.1033,-0.3653,0.0202,0.0096,-0.0096,-0.0055
"{'Credit amount': '<3913.5', 'Job': 2, 'Purpose': 'radio/TV'}",0.8122,0.0402,0.95,0.1886,0.8933,17.2,0.0172,31.8732,0.1844,0.4029,0.1106,0.1616,-0.0597,-0.1616,0.0181,0.0079,-0.0079,-0.0052
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Saving accounts': 'unknown'}",0.9688,0.0,1.0,0.0886,0.9933,17.2,0.0172,18.0188,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0127,0.0068,-0.0068,-0.0008
"{'Checking account': 'unknown', 'Purpose': 'radio/TV', 'Saving accounts': 'little'}",0.9531,0.0,1.0,0.0871,0.99,16.2,0.0162,17.4422,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0127,0.0067,-0.0067,-0.0012
"{'Checking account': 'unknown', 'Job': 2, 'Saving accounts': 'unknown'}",0.9275,0.0,1.0,0.0914,0.9833,15.7,0.0157,17.8087,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0137,0.007,-0.007,-0.002
"{'Checking account': 'unknown', 'Duration': '<15.5', 'Purpose': 'radio/TV'}",0.9661,0.0,1.0,0.0814,0.9933,15.7,0.0157,16.5203,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0117,0.0063,-0.0063,-0.0008
"{'Job': 2, 'Purpose': 'radio/TV'}",0.8195,0.0349,0.9553,0.2171,0.8567,15.5,0.0155,35.5446,0.1579,0.3151,0.0887,0.0811,-0.065,-0.0658,0.0173,0.0099,-0.0099,-0.0028
"{'Duration': '<15.5', 'Job': 2, 'Purpose': 'radio/TV'}",0.8773,0.0068,0.9922,0.11,0.9633,15.4,0.0154,20.2125,0.0583,0.4091,0.1825,0.3326,-0.1019,-0.3326,0.0161,0.0078,-0.0078,-0.0037
"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Purpose': 'radio/TV'}",0.9265,0.0,1.0,0.09,0.9833,15.4,0.0154,17.5103,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0135,0.0069,-0.0069,-0.002
"{'Job': 2, 'Saving accounts': 'unknown'}",0.8067,0.0283,0.9657,0.1414,0.93,15.0,0.015,24.5025,0.0809,0.1051,0.1601,0.3482,-0.0754,-0.3482,0.0192,0.0079,-0.0075,-0.0073
"{'Checking account': 'unknown', 'Housing': 'own', 'Saving accounts': 'unknown'}",0.9143,0.0,1.0,0.0914,0.98,15.0,0.015,17.5543,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0139,0.007,-0.007,-0.0024
"{'Credit amount': '<3913.5', 'Housing': 'own', 'Saving accounts': 'unknown'}",0.8587,0.0,1.0,0.1129,0.9567,14.6,0.0146,20.3511,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0183,0.0087,-0.0087,-0.0053
"{'Age': '>=25.5', 'Job': 2, 'Saving accounts': 'unknown'}",0.8433,0.0062,0.9927,0.1171,0.95,14.1,0.0141,20.7959,0.0265,0.0833,0.1881,0.3787,-0.1024,-0.3787,0.0182,0.0084,-0.0084,-0.0057
"{'Checking account': 'unknown', 'Job': 2, 'Purpose': 'car'}",0.907,0.0,1.0,0.0557,0.9867,8.9,0.0089,10.6116,0.0,1.0,0.1984,0.4053,-0.1097,-0.4053,0.0085,0.0043,-0.0043,-0.0016
"{'Checking account': 'unknown', 'Purpose': 'car'}",0.8475,0.0,1.0,0.0714,0.97,8.7,0.0087,12.7119,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0117,0.0055,-0.0055,-0.0036
"{'Checking account': 'unknown', 'Credit amount': '<3913.5', 'Purpose': 'car'}",0.875,0.0,1.0,0.06,0.98,8.4,0.0084,11.025,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0095,0.0046,-0.0046,-0.0024
"{'Age': '>=25.5', 'Checking account': 'unknown', 'Purpose': 'car'}",0.8837,0.0,1.0,0.0543,0.9833,7.9,0.0079,10.0744,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0085,0.0042,-0.0042,-0.002
"{'Checking account': 'unknown', 'Housing': 'own', 'Purpose': 'car'}",0.875,0.0,1.0,0.05,0.9833,7.0,0.007,9.1875,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0079,0.0038,-0.0038,-0.002
"{'Checking account': 'unknown', 'Duration': '<15.5', 'Purpose': 'car'}",0.8788,0.0,1.0,0.0414,0.9867,5.9,0.0059,7.6455,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0065,0.0032,-0.0032,-0.0016
"{'Duration': '<15.5', 'Job': 1}",0.7512,0.0,1.0,0.04,0.9567,-0.7,-0.0007,5.7366,0.0494,0.2,0.1301,0.2008,-0.1097,-0.1899,0.0053,0.0032,-0.0031,-0.0025
