,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Checking account': 'little', 'Purpose': 'furniture/equipment'}",0.4933,0.1333,0.5,0.0057,0.9633,-6.5,-0.0065,0.32,0.1214,0.1667,0.2949,0.3903,0.3903,0.0856,0.0044,0.0016,0.0016,0.0009
0,"{'Checking account': 'moderate', 'Credit amount': '<3913.5'}",0.6789,0.0167,0.975,0.1714,0.8,-6.0,-0.006,24.0,0.0835,0.1321,0.1528,0.3187,-0.0847,-0.3187,0.0275,0.0191,-0.0102,-0.0191
0,"{'Credit amount': '>=3913.5', 'Duration': '>=15.5', 'Purpose': 'car'}",0.6162,0.2216,0.59,0.0286,0.9433,-5.9,-0.0059,3.2432,0.0927,0.219,0.3205,0.3003,0.3003,0.2417,0.0119,0.006,0.006,0.0041
0,"{'Credit amount': '<3913.5', 'Duration': '>=15.5', 'Purpose': 'car'}",0.6657,0.1194,0.8049,0.0586,0.9133,-5.9,-0.0059,7.5269,0.1901,0.3103,0.0941,0.1243,0.0854,0.0408,0.0063,0.0039,0.0035,0.0011
0,"{'Age': '>=25.5', 'Duration': '>=15.5', 'Purpose': 'car'}",0.6649,0.1143,0.8167,0.0686,0.9033,-5.9,-0.0059,8.9766,0.0961,0.2714,0.0717,0.1361,0.0736,0.0085,0.0055,0.0041,0.0035,0.0002
0,"{'Age': '<25.5', 'Duration': '>=15.5', 'Purpose': 'car'}",0.6,0.2741,0.4308,0.0186,0.9533,-5.9,-0.0059,1.8778,0.0967,0.14,0.4683,0.4624,0.4595,0.3518,0.0126,0.0061,0.006,0.0049
0,"{'Duration': '>=15.5', 'Housing': 'free', 'Purpose': 'car'}",0.6381,0.181,0.5778,0.0129,0.96,-5.7,-0.0057,1.1571,0.1933,0.3,0.373,0.3361,0.3125,0.278,0.0078,0.0036,0.0028,0.0033
0,"{'Duration': '>=15.5', 'Purpose': 'furniture/equipment'}",0.552,0.128,0.7333,0.0171,0.9567,-5.5,-0.0055,1.728,0.2984,0.5333,0.1296,0.157,0.157,-0.0207,0.0032,0.0019,0.0019,-0.0003
0,"{'Checking account': 'moderate', 'Credit amount': '>=3913.5', 'Purpose': 'business'}",0.6457,0.24,0.5579,0.0271,0.9467,-5.5,-0.0055,3.0943,0.2106,0.24,0.3845,0.3595,0.3324,0.3447,0.0135,0.0065,0.0063,0.0055
0,"{'Checking account': 'little', 'Housing': 'own', 'Purpose': 'furniture/equipment'}",0.6889,0.0,1.0,0.0014,0.9733,-5.3,-0.0053,0.0333,0.22,1.0,0.3794,0.2447,-0.1097,0.2447,0.0034,0.002,-0.0001,0.002
0,{'Purpose': 'furniture/equipment'},0.661,0.0542,0.9111,0.0514,0.9233,-5.3,-0.0053,6.5898,0.0686,0.099,0.0391,0.1358,-0.0208,-0.1358,0.0023,0.0031,-0.0007,-0.0031
0,"{'Checking account': 'moderate', 'Duration': '>=15.5', 'Housing': 'free'}",0.6138,0.1724,0.6667,0.0214,0.9533,-5.3,-0.0053,2.3276,0.1248,0.4929,0.243,0.2279,0.2236,0.1518,0.007,0.0034,0.0034,0.0021
0,"{'Age': '>=25.5', 'Checking account': 'little', 'Purpose': 'furniture/equipment'}",0.42,0.1,0.5,0.0029,0.9733,-5.0,-0.005,0.12,0.219,0.5,0.2216,0.3903,0.3903,-0.0053,0.0022,0.0008,0.0008,-0.0
0,"{'Checking account': 'little', 'Credit amount': '<3913.5', 'Purpose': 'furniture/equipment'}",0.44,0.0,1.0,0.0029,0.9733,-5.0,-0.005,0.12,0.24,0.3,0.0416,0.1276,-0.1097,-0.1053,0.0004,0.0008,-0.0002,-0.0008
0,{'Purpose': 'business'},0.7335,0.095,0.8615,0.33,0.6467,-4.9,-0.0049,47.5024,0.0949,0.1048,0.0396,0.0531,0.0288,0.0494,0.0133,0.0072,0.0067,0.0052
0,"{'Checking account': 'little', 'Credit amount': '<3913.5', 'Purpose': 'car'}",0.6296,0.2,0.6727,0.0471,0.93,-4.8,-0.0048,6.05,0.3518,0.6571,0.2201,0.2492,0.2176,0.1566,0.0119,0.0072,0.0072,0.0033
0,"{'Age': '<25.5', 'Credit amount': '<3913.5', 'Housing': 'own'}",0.716,0.0765,0.8808,0.0743,0.9033,-4.7,-0.0047,10.0148,0.1553,0.2048,0.0436,0.0639,0.0095,0.0154,0.0035,0.002,0.0005,0.0004
0,"{'Age': '>=25.5', 'Checking account': 'moderate', 'Housing': 'free'}",0.5929,0.1286,0.76,0.0214,0.9567,-4.6,-0.0046,2.4107,0.0615,0.146,0.1159,0.1303,0.1303,-0.0053,0.0032,0.002,0.002,-0.0001
0,"{'Credit amount': '<3913.5', 'Duration': '>=15.5', 'Purpose': 'business'}",0.7265,0.102,0.8438,0.0914,0.8867,-4.6,-0.0046,12.5388,0.1154,0.2588,0.0792,0.1005,0.0465,0.1005,0.0078,0.004,0.003,0.0034
0,"{'Checking account': 'little', 'Duration': '<15.5'}",0.6741,0.0759,0.8845,0.1014,0.8767,-4.6,-0.0046,14.0028,0.3086,0.3893,0.0299,0.1351,0.0058,-0.1351,0.0032,0.005,0.0004,-0.005
0,"{'Checking account': 'moderate', 'Duration': '>=15.5', 'Purpose': 'radio/TV'}",0.6057,0.08,0.86,0.0286,0.95,-4.5,-0.0045,3.4286,0.1355,0.2303,0.0356,0.1398,0.0303,-0.1387,0.0012,0.0022,0.0006,-0.0021
0,"{'Checking account': 'little', 'Credit amount': '>=3913.5', 'Purpose': 'radio/TV'}",0.7667,0.0,0.0,0.0,0.98,-4.2,-0.0042,0.0,0.25,0.25,0.5683,0.8903,0.8903,0.3613,0.0034,0.0022,0.0,0.0022
