Unnamed: 0,description,Accuracy,Wrong disadvantage,Recall,sensitivity,specificity,piatetsky_shapiro,WRAcc_score,WRAcc_score_optimistic,demographic_parity_difference,equalized_odds_difference,demographic_parity_subgroup,equalized_odds_subgroup,true_positive_subgroup,false_positive_subgroup,weighted_dpd_subgroup,weighted_eod_subgroup,weighted_tp_subgroup,weighted_fp_subgroup
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Job': 3}",0.8095,0.0,1.0,0.0243,0.9867,2.3,0.0023,4.1286,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0042,0.0019,-0.0019,-0.0016
0,"{'Duration': '<15.5', 'Purpose': 'car', 'Saving accounts': 'unknown'}",0.9,0.0,1.0,0.0129,0.9967,2.0,0.002,2.43,0.0,1.0,0.1984,0.4053,-0.1097,-0.4053,0.002,0.001,-0.001,-0.0004
0,"{'Checking account': 'unknown', 'Duration': '<15.5', 'Saving accounts': 'moderate'}",0.9,0.0,1.0,0.0129,0.9967,2.0,0.002,2.43,0.0,1.0,0.1984,0.4053,-0.1097,-0.4053,0.002,0.001,-0.001,-0.0004
0,"{'Job': 1, 'Purpose': 'radio/TV'}",0.6769,0.1308,0.83,0.0286,0.98,1.8,0.0018,4.6154,0.3867,0.68,0.0867,0.2577,0.0603,-0.2387,0.0023,0.0024,0.0012,-0.0014
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Saving accounts': 'quite rich'}",0.759,0.0,1.0,0.0414,0.9667,1.7,0.0017,6.4692,0.0353,0.1,0.183,0.3453,-0.1097,-0.3453,0.0071,0.0035,-0.0032,-0.0035
0,"{'Checking account': 'rich', 'Duration': '<15.5', 'Purpose': 'car'}",1.0,0.0,1.0,0.0071,1.0,1.5,0.0015,1.5,0.0,0.0,0.1984,0.5947,-0.1097,0.5947,0.001,0.0005,-0.0005,0.0
0,"{'Age': '<25.5', 'Saving accounts': 'unknown'}",0.6786,0.1,0.8667,0.03,0.9767,1.4,0.0014,4.725,0.0792,0.2724,0.0698,0.291,0.0236,-0.291,0.002,0.002,0.0005,-0.002
0,"{'Duration': '<15.5', 'Purpose': 'business', 'Saving accounts': 'little'}",0.7452,0.0381,0.9467,0.0857,0.92,1.2,0.0012,12.8571,0.1744,0.2523,0.0913,0.1637,-0.0564,-0.1637,0.0077,0.0041,-0.0034,-0.0039
0,"{'Duration': '>=15.5', 'Purpose': 'radio/TV', 'Saving accounts': 'moderate'}",0.8286,0.0286,0.9667,0.0086,0.9967,1.1,0.0011,1.5429,0.0667,1.0,0.1698,0.4053,-0.0764,-0.4053,0.0012,0.0006,-0.0005,-0.0004
0,"{'Duration': '<15.5', 'Job': 2, 'Saving accounts': 'moderate'}",0.7647,0.0,1.0,0.0186,0.9867,1.1,0.0011,2.9824,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0034,0.0016,-0.0014,-0.0016
0,"{'Credit amount': '<3913.5', 'Duration': '<15.5', 'Purpose': 'furniture/equipment'}",0.7636,0.0,1.0,0.0343,0.97,0.9,0.0009,5.2364,0.0478,0.17,0.162,0.272,-0.1097,-0.272,0.0053,0.0027,-0.0026,-0.0024
0,"{'Credit amount': '>=3913.5', 'Purpose': 'car', 'Saving accounts': 'unknown'}",0.7333,0.1,0.88,0.0071,0.9967,0.8,0.0008,1.25,0.3,1.0,0.0984,0.4053,0.0103,-0.4053,0.0006,0.0005,0.0001,-0.0004
0,"{'Checking account': 'moderate', 'Credit amount': '<3913.5', 'Duration': '<15.5'}",0.7071,0.0,1.0,0.1,0.9033,0.7,0.0007,14.8485,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0196,0.0118,-0.0077,-0.0118
0,"{'Age': '>=25.5', 'Credit amount': '<3913.5', 'Duration': '>=15.5'}",0.7167,0.0729,0.8963,0.27,0.7333,0.7,0.0007,39.8375,0.0852,0.1875,0.0423,0.1141,-0.006,-0.1128,0.0114,0.0096,-0.0011,-0.009
0,"{'Duration': '>=15.5', 'Purpose': 'car', 'Saving accounts': 'unknown'}",0.6727,0.0545,0.925,0.0114,0.99,0.3,0.0003,1.7455,0.2,0.3,0.1439,0.4053,-0.0347,-0.4053,0.0016,0.0012,-0.0003,-0.0012
0,"{'Duration': '<15.5', 'Saving accounts': 'quite rich'}",0.722,0.0,1.0,0.0414,0.96,0.3,0.0003,6.1537,0.0353,0.1,0.1838,0.3553,-0.1097,-0.3553,0.0075,0.0043,-0.0032,-0.0043
0,"{'Duration': '<15.5', 'Purpose': 'furniture/equipment'}",0.7412,0.0,1.0,0.0343,0.9667,0.2,0.0002,5.0824,0.0471,0.16,0.1631,0.2853,-0.1097,-0.2853,0.0055,0.003,-0.0026,-0.0029
0,"{'Checking account': 'unknown', 'Duration': '>=15.5', 'Purpose': 'furniture/equipment'}",0.7143,0.0,1.0,0.0071,0.9933,0.1,0.0001,1.0714,0.0,0.0,0.1984,0.4053,-0.1097,-0.4053,0.0014,0.0008,-0.0005,-0.0008
0,"{'Credit amount': '>=3913.5', 'Duration': '>=15.5', 'Saving accounts': 'moderate'}",0.7143,0.0,1.0,0.0071,0.9933,0.1,0.0001,1.0714,0.0,1.0,0.1984,0.4053,-0.1097,-0.4053,0.0014,0.0008,-0.0005,-0.0008
